"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-vaccination","fr-lm-vaccination","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Vaccination","Vaccination","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-vaccination.identifiant","fr-lm-vaccination.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l’entrée","Identifiant de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-vaccination.identifiant",1,1,"",""
"fr-lm-vaccination.code","fr-lm-vaccination.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type d'acte : vaccination","Type d'acte : vaccination","","","","","","","","","",,,,,"",,,,"fr-lm-vaccination.code",1,1,"",""
"fr-lm-vaccination.description","fr-lm-vaccination.description","","","",1,1,"","","","Narrative {[]} {[]}
","Partie narrative de l’entrée","Partie narrative de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-vaccination.description",1,1,"",""
"fr-lm-vaccination.statut","fr-lm-vaccination.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l’entrée","Statut de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-vaccination.statut",1,1,"",""
"fr-lm-vaccination.dateVaccination","fr-lm-vaccination.dateVaccination","","","",1,1,"","","","dateTime {[]} {[]}
","Période de vaccination souhaitable","Période de vaccination souhaitable","","","","","","","","","",,,,,"",,,,"fr-lm-vaccination.dateVaccination",1,1,"",""
"fr-lm-vaccination.voieAadministration","fr-lm-vaccination.voieAadministration","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Voie d’administration","Voie d’administration","","","","","","","","","",,,,,"",,,,"fr-lm-vaccination.voieAadministration",0,1,"",""
"fr-lm-vaccination.regionAnatomique","fr-lm-vaccination.regionAnatomique","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Région anatomique d'administration","Région anatomique d'administration","","","","","","","","","",,"","SNOMED CT (2.16.840.1.113883.6.96)","","",,,,"fr-lm-vaccination.regionAnatomique",0,*,"",""
"fr-lm-vaccination.doseVaccination","fr-lm-vaccination.doseVaccination","","","",0,1,"","","","Quantity {[]} {[]}
","Dose administrée","Dose administrée","","","","","","","","","",,,,,"",,,,"fr-lm-vaccination.doseVaccination",0,1,"",""
"fr-lm-vaccination.vaccin","fr-lm-vaccination.vaccin","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-produit-sante {[]} {[]}
","Vaccin","Vaccin","","","","","","","","","",,,,,"",,,,"fr-lm-vaccination.vaccin",1,1,"",""
"fr-lm-vaccination.prescription","fr-lm-vaccination.prescription","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-prescription-entree {[]} {[]}
","Référence de la prescription","Référence de la prescription","","","","","","","","","",,,,,"",,,,"fr-lm-vaccination.prescription",0,1,"",""
"fr-lm-vaccination.rangVaccination","fr-lm-vaccination.rangVaccination","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-rang-vaccination {[]} {[]}
","Rang de la vaccination","Rang de la vaccination","","","","","","","","","",,,,,"",,,,"fr-lm-vaccination.rangVaccination",0,1,"",""
"fr-lm-vaccination.reaction","fr-lm-vaccination.reaction","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-probleme {[]} {[]}
","Réaction observée suite au vaccin","Réaction observée suite au vaccin","","","","","","","","","",,,,,"",,,,"fr-lm-vaccination.reaction",0,*,"",""
"fr-lm-vaccination.commentaire","fr-lm-vaccination.commentaire","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-commentaire-er {[]} {[]}
","Commentaire","Commentaire","","","","","","","","","",,,,,"",,,,"fr-lm-vaccination.commentaire",0,1,"",""
"fr-lm-vaccination.DoseAntigene","fr-lm-vaccination.DoseAntigene","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-dose-antigene {[]} {[]}
","Dose d'antigène","Dose d'antigène","","","","","","","","","",,,,,"",,,,"fr-lm-vaccination.DoseAntigene",0,*,"",""
