"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-medication","fr-lm-medication","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Medication","Produit de santé","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-medication.medicament","fr-lm-medication.medicament","","","",1,1,"","","","Base {[]} {[]}
","Médicament","Médicament","","","","","","","","","",,,,,"",,,,"fr-lm-medication.medicament",1,1,"",""
"fr-lm-medication.medicament.codeProduit","fr-lm-medication.medicament.codeProduit","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Code du produit de santé","Code du produit de santé","","","","","","","","","",,,,,"",,,,"fr-lm-medication.medicament.codeProduit",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-medication.medicament.codeProduit.id","fr-lm-medication.medicament.codeProduit.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"fr-lm-medication.medicament.codeProduit.extension","fr-lm-medication.medicament.codeProduit.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"fr-lm-medication.medicament.codeProduit.coding","fr-lm-medication.medicament.codeProduit.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-medication.medicament.codeProduit.text","fr-lm-medication.medicament.codeProduit.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-medication.medicament.codeProduit.identifyingCodeCodeableConcept","fr-lm-medication.medicament.codeProduit.identifyingCodeCodeableConcept","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Codes du médicament dans une termino spécifique","Codes du médicament dans une termino spécifique","","","","","","","","","",,,,,"",,,,"fr-lm-medication.medicament.codeProduit.identifyingCodeCodeableConcept",0,1,"",""
"fr-lm-medication.medicament.codeProduit.identifyingCodeIdentifier","fr-lm-medication.medicament.codeProduit.identifyingCodeIdentifier","","","",0,*,"","","","Identifier {[]} {[]}
","identifiant du medication définition","identifiant du medication définition","","","","","","","","","",,,,,"",,,,"fr-lm-medication.medicament.codeProduit.identifyingCodeIdentifier",0,*,"",""
"fr-lm-medication.medicament.classificationATC","fr-lm-medication.medicament.classificationATC","","","",0,*,"","","","Base {[]} {[]}
","Code de regroupement ATC","Code de regroupement ATC","","","","","","","","","",,,,,"",,,,"fr-lm-medication.medicament.classificationATC",0,*,"",""
"fr-lm-medication.medicament.nomProduit","fr-lm-medication.medicament.nomProduit","","","",0,1,"","","","string {[]} {[]}
","Nom du produit (contenant aussi le dosage et la forme galénique). Si le médicament est codé, le nom du produit peut ne pas être renseigné.","Nom du produit (contenant aussi le dosage et la forme galénique). Si le médicament est codé, le nom du produit peut ne pas être renseigné.","","","","","","","","","",,,,,"",,,,"fr-lm-medication.medicament.nomProduit",0,1,"",""
