"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-allergie-ou-hypersensibilite","fr-lm-allergie-ou-hypersensibilite","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Allergie ou Hypersensibilité","Allergie ou hypersensibilite","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-allergie-ou-hypersensibilite.identifiant","fr-lm-allergie-ou-hypersensibilite.identifiant","","","",1,*,"","","","Identifier {[]} {[]}
","Identifiant de l’entrée","Identifiant de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-allergie-ou-hypersensibilite.identifiant",1,*,"",""
"fr-lm-allergie-ou-hypersensibilite.description","fr-lm-allergie-ou-hypersensibilite.description","","","",1,1,"","","","Narrative {[]} {[]}
","Partie narrative de l’entrée","Partie narrative de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-allergie-ou-hypersensibilite.description",1,1,"",""
"fr-lm-allergie-ou-hypersensibilite.type","fr-lm-allergie-ou-hypersensibilite.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type d'allergie / hypersensibilité non allergique / intolérance / idiosyncrasie","Type d'allergie / hypersensibilité non allergique / intolérance / idiosyncrasie","","","","","","","","","",,,,,"",,,,"fr-lm-allergie-ou-hypersensibilite.type",1,1,"",""
"fr-lm-allergie-ou-hypersensibilite.statut","fr-lm-allergie-ou-hypersensibilite.statut","","","",0,1,"","","","code {[]} {[]}
","Statut de l’entrée","Statut de l’entrée","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""completed""/>","","","",,,,,"",,,,"fr-lm-allergie-ou-hypersensibilite.statut",0,1,"",""
"fr-lm-allergie-ou-hypersensibilite.date","fr-lm-allergie-ou-hypersensibilite.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date de début","Date de début","","","","","","","","","",,,,,"",,,,"fr-lm-allergie-ou-hypersensibilite.date",1,1,"",""
"fr-lm-allergie-ou-hypersensibilite.participant","fr-lm-allergie-ou-hypersensibilite.participant","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-participant-corps {[]} {[]}
","Agent responsable","Agent responsable","","","","","","","","","",,,,,"",,,,"fr-lm-allergie-ou-hypersensibilite.participant",0,1,"",""
"fr-lm-allergie-ou-hypersensibilite.probleme","fr-lm-allergie-ou-hypersensibilite.probleme","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-probleme {[]} {[]}
","Réaction observée","Réaction observée","","","","","","","","","",,,,,"",,,,"fr-lm-allergie-ou-hypersensibilite.probleme",0,*,"",""
"fr-lm-allergie-ou-hypersensibilite.statutClique","fr-lm-allergie-ou-hypersensibilite.statutClique","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Statut clinique de l'allergie","Statut clinique de l'allergie","","","","","","","","","",,"","HL7_allergyintolerance-clinical","","",,,,"fr-lm-allergie-ou-hypersensibilite.statutClique",0,1,"",""
"fr-lm-allergie-ou-hypersensibilite.certitude","fr-lm-allergie-ou-hypersensibilite.certitude","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-certitude {[]} {[]}
","Certitude","Certitude","","","","","","","","","",,"","HL7_condition-ver-status","","",,,,"fr-lm-allergie-ou-hypersensibilite.certitude",0,1,"",""
"fr-lm-allergie-ou-hypersensibilite.criticite","fr-lm-allergie-ou-hypersensibilite.criticite","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-criticite {[]} {[]}
","Criticité","Criticité","","","","","","","","","",,"","HL7_allergy_intolerance_criticality","","",,,,"fr-lm-allergie-ou-hypersensibilite.criticite",0,1,"",""
