"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-habitus-mode-de-vie-entree","fr-lm-habitus-mode-de-vie-entree","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Habitus Mode de vie","Habitus Mode de vie","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-habitus-mode-de-vie-entree.identifiant","fr-lm-habitus-mode-de-vie-entree.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.identifiant",1,1,"",""
"fr-lm-habitus-mode-de-vie-entree.code","fr-lm-habitus-mode-de-vie-entree.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée. Élément observé","Code de l'entrée. Élément observé","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.code",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-habitus-mode-de-vie-entree.code.id","fr-lm-habitus-mode-de-vie-entree.code.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"fr-lm-habitus-mode-de-vie-entree.code.extension","fr-lm-habitus-mode-de-vie-entree.code.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"fr-lm-habitus-mode-de-vie-entree.code.coding","fr-lm-habitus-mode-de-vie-entree.code.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-habitus-mode-de-vie-entree.code.text","fr-lm-habitus-mode-de-vie-entree.code.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-habitus-mode-de-vie-entree.code.precision","fr-lm-habitus-mode-de-vie-entree.code.precision","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Précision sur l'élément observé","Précision sur l'élément observé","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.code.precision",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-habitus-mode-de-vie-entree.code.precision.id","fr-lm-habitus-mode-de-vie-entree.code.precision.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"fr-lm-habitus-mode-de-vie-entree.code.precision.extension","fr-lm-habitus-mode-de-vie-entree.code.precision.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"fr-lm-habitus-mode-de-vie-entree.code.precision.coding","fr-lm-habitus-mode-de-vie-entree.code.precision.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-habitus-mode-de-vie-entree.code.precision.text","fr-lm-habitus-mode-de-vie-entree.code.precision.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"fr-lm-habitus-mode-de-vie-entree.code.precision.name","fr-lm-habitus-mode-de-vie-entree.code.precision.name","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Nom du qualifier","Nom du qualifier","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.code.precision.name",0,1,"",""
"fr-lm-habitus-mode-de-vie-entree.code.precision.value","fr-lm-habitus-mode-de-vie-entree.code.precision.value","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Valeur du qualifier","Valeur du qualifier","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.code.precision.value",0,1,"",""
"fr-lm-habitus-mode-de-vie-entree.description","fr-lm-habitus-mode-de-vie-entree.description","","","",1,1,"","","","Narrative {[]} {[]}
","Description narrative","Description narrative","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.description",1,1,"",""
"fr-lm-habitus-mode-de-vie-entree.statut","fr-lm-habitus-mode-de-vie-entree.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.statut",1,1,"",""
"fr-lm-habitus-mode-de-vie-entree.horodatage","fr-lm-habitus-mode-de-vie-entree.horodatage","","","",0,1,"","","","dateTime {[]} {[]}
","Horodatage de l'entrée","Horodatage de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.horodatage",0,1,"",""
"fr-lm-habitus-mode-de-vie-entree.resultat","fr-lm-habitus-mode-de-vie-entree.resultat","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Résultat de l’observation effectuée","Résultat de l’observation effectuée","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.resultat",1,1,"",""
